Category,Message
ham,eske      bebusis ena betalak alem    wste bcha   sin  ale 
ham,eshi   maches    
spam,  wancha   n lemashenef netsa gebet be     wste netsa          wochu
ham,        awo u ha  
ham,nah  amerika   gen ezih 
spam,     samnt  sihon ahunm  ahunm leesu liznanu     lemelak    
ham,  keene gar menegager      balebetnet 
ham,        kalirtberwo  kalirtbern    n 
spam,ashenafi  waga  awtare mereb    shlmat shlmat        le  seatat 
spam,tenkesakash slkwo  wer        gize   kekamera benetsa lemazemen mebt     zmenawo 
ham,bekrbu bet ehonalehu enam slezih neger zare mata mata slezih neger mawrat   beki 
spam,betere genzeb lemashenef    eske     lak ena    ke 
spam,     wste   samnt netsa abalnet   
ham,lezih estnfas lemamesgen tkklegna kalatn felge  chla   kal egebalehu enam  kal  gize  ena bereket 
ham,  ken ewek 
spam,  lemetekem bemiketelut   melekt wste   agenagn tek   ezih tek   ezih tek     
ham,oh   ezih  new 
ham,ech es smun          awo ene  esktalel  ebritegna 
ham, kehone teru kehone    new le
spam,    gebochn   zenawochn   u bherawi    emegna  engeliz eske       
ham, smun    bekum neger 
ham,ene ke  weroch wste emokralehu ena  new
ham,slezih        sbsb meche new 
ham,  echersalehu   lob      msawn  
ham, 
ham, kurach lemeblat rasen   beewnetu     sishefn  tamme 
ham,hulgize asamagn 
ham,awtobusun      enatwon   
ham,ene temel  ena  ahun mekinawn   kflu kalewot asawkwotalehu
ham,   
ham, ahunm  sle ene ashkakiw  ergetegna  ena     keegna gar menor  new
ham,awo esu be  wste geba ena    neber ena eswa  tebelash htsan   ena       metefo  
ham, sleerswo mnm neger 
ham,   sra hulu   frhat   
spam, mzgebawo mzgeba letenkesakash slkwo    weru  ebakwon ebakwon awo   bememeles    
ham,awo  eshi  bet emelesalehu  ene   n  emeleketalehu   be  gna limar  gen tmhrtwa ketewatu  seat new
ham, abrogn   meche  
ham,ene     
ham,mnm neger   erswo  
ham,  newot ena    neger lemesrat kewesenu  beka melekt    mangnawnm neger lemegabez  
ham, ke  gar   lemehon felge    
ham,lnegerh  emegnalehu  gen kehulum       aremate  chukhet
spam,   makatel    ebakwon ahun  
ham,mann  
ham,betam  beteru huneta tesewro  tesfa  negn      
ham,mnm teriwoch 
ham, wste tope bi ktbat 
ham, mangnawnm neger  
ham,   kalchale tesfa  mnalbat betekitu   
ham,ene mn  blcha   hospital   alfelgem  menager   telafi   sukoch 
ham,sle ene   gize bekfl wste  
ham, geram bzuwn gize        gemash smntegna blte new ena     ena    
ham,   nege tewat    gen zare mata beegna bota   new
ham,  betoch wste betam  mehonwon bechrash alawkm   hulu  slemnchl ena erswo hul gize sle  betam  slehone new  asb  alsetem ena ene  mestet   kflwo betam  slehone 
spam,    aganntoch ena   knfoch  hoki   tkkl  sechi 
ham,  lemn tnant mn        ar el  
spam,    amet  sinima pasport le       rman  matrik  star tor  wezete hulum   
ham,   sbseba  
ham,  
ham, ena   
ham, betwo   leraswo    ke   bur gar      
ham,  melkam  huneta felagiwoch 
ham,  kfl new
ham,aznagn   lezelalem  ahun bimeta 
ham,eshi  ene  fetsh    tsegur asebasebn achachr hono  eskimesl   
spam, waga    meten    gursha shlmat  shlmat   ke   gursha shlmat    
ham,zare  ken ken new  leene  zefen new  lehulum tekami   gen  melslgn 
spam, ur    ako ena             
spam,sle     hulu gar 
ham,bezih wer mecheresha 
ham,     genzebn    hek 
ham, kfl  newot
ham, htsan  bebet wste  neger  
ham,     
ham,ahun   
ham,ene   netsa 
ham,teru  chewa sew negn enam beakbrot ena beakbrot 
ham,ene betam   gen betam  
ham, ena      mn
ham,ezih   sra   mn  
ham,  
ham, ahun ahm 
ham,eshi ene  bet  selam taza
ham, sew mtk thonaleh
ham, 
ham,  awtaremereb   esemes
ham,meche  bcha  techemari tketoch ena  techemari  bcha new  balebzuwochen 
ham,awo ene  hasabochn melak  neger gen   wste hulet   wste genzeb 
ham,ene gena zare mata htsan 
ham,ele    wen ur netsa 
ham,    neger 
ham,hmem bemehone  lela msht kagegnen    keseat  ena  malet mangnawnm     enam hulunm  luhochn ena  
ham,  gize  znab fegegeta  gize hmem fegegeta fegegeta fegegeta fegege 
spam,ebakwon wastna    tere genzeb    shlmatoch  ebakwon  agelgelot  be   mekakel 
ham, lemegezat   sil   be  ekf wste   srawn 
spam,netsa  teri  lemesebseb   lematarat    kal  ena    saten     
ham, film 
ham, egna   alun
ham,  neber  ahun  letekit  wste tsegur ketero  mezengat mezengat   leerswo   
ham,  buna animeshn 
ham,ebakwon    lela mnm neger 
ham,eshi hgawi eskemihon  menesat       
ham,ene  mekina   gena  fetena gena 
ham,        kalirtberwo  kalirtbern    n 
ham,   malet  bebosten  kawetahu  egemtalehu enam   le   neger  beene  getse  ahunm bosten 
ham,uma  ena    umawo  
ham, kenwo  lalut mgnotochwo bzu  beewnetu betam  slehone 
ham,  genzeb  etemamenalehu
ham,    new  kompiter memermer  mawcha  
ham,   erswo    ene hul gize  lemechawet  sew negn 
ham,  
ham, mrmr  
ham, erat 
ham,ene kekomoch gar  negn ene    negerochn  gen     betam chok blew 
spam, erswon lemanegager        shlmat wastna          pipiem
ham,   betam   ene   ene    ti ti
ham,  kabine stageba panete             apartamawa   
spam,erswo ashenafi newot           opereterun  akrbewal   leketeta opereter       
ham, arb manegager alebn    temrta letitoles asfelagi 
ham,emmm  agote tmhrtun beketeta  mehonun bcha   mgeb 
spam,   megelechawo le     netebochn      gizew 
spam, slk kuterwo be       shlmat new  lemanegager  mukera  mesmer  saten   
ham,    ena  ena  ena   malki
spam,  kuteroch     shlmat lemagegnet  kalebwo ebakwon  teks  kuter    
ham,zare  sao mucha  be  bcha new
ham,   megezatn 
ham,teru  
ham,lk  hulu gen gen genzeb gena  melak  tsehuf  bemangnawm neger eraswon masatef  leerswo mnm neger leerswo mnm neger mashenef   
ham,bekfl wste 
ham,         gize     gize stegn
ham,  mn  
ham,bet 
ham, nege 
ham, gize  mels 
spam, brhan    hager wste  hager  kaweku keftegna    machawechan        
spam, mata mata    botawoch   ur hzbn  tlku  awtaremereb awtare mereb bit   eske    
ham,ene bcha    new
ham,  ena esun 
ham,  kemenorwo befit hulunm kfloch emeremralehu
spam,  mnm techemari    agelgelotoch tsehuf   erswo mnm neger kelelewot ke  awtare mereb gar maregagete ena  
ham,gebagn   senef negn  bemlkt  resahu   kis  gen  ene teru  
ham,   sihonu laklgn
ham,  bemetebek 
ham,tafach    negerochn bemakenawen bechrash  kuz 
ham,   mekfet 
ham,awo bebotaw  
ham,  sm man 
spam, letsehufoche lemn    set ena        be    
ham,  teri kefetenu  ke   slehonem pawoch betam  
ham, n lemn 
ham,    be  
ham,  new enam bechrash alawkm 
ham,     kesosawoch  nachaw  pelaza 
ham,eshi   uhu mlash 
ham,        kalirtberwo  kalirtbern    n 
ham,erswo      bekemise     gize afen beshenku gize enante    hlme hlm   gemash  srawochem  leene   bzu  tr  toch   gen    ena  ena ezih   ene ena   
ham, sra  
ham,ahun beten tche  
ham,    gize  kale mlls     ene   
spam, agelgelot    amet akrbot  lemamechachat ebakwon ebakwon  
spam,erswo ashenafi newot  be   tere genzeb     ken   leketeta opereter    
ham,ene sle ene    erswo slegebagn ena ene  sle ene ena beewnetegna  wste erswon  hulu  sew ewnet new
ham, mekina ena bet    sra bcha alegn 
ham,ene keerswo gar fkr  keerswo gar sweta     
spam,  makom akum                wste  lak
spam,banbabawoch ul tezaz        n  mekebel  goto    
ham,hulum  neteboch beimole    
spam, erswon lemanegager        shlmat wastna          bcha
ham,   sew gar alemegebabat     
ham,talak    gen  flagot  engenagn
ham, kekre wch mulu bemulu  klark koshashan 
ham,  bank hisab  ena   
ham,  chige  hope  gize alegn  awo
ham, siwetu mn seat 
ham,    mamen    spanish spanish  ena be  
ham, ahun  beten   teru  teru 
ham,karlos teriwn makenawen  genzeb  asawkegn
ham,ahunm    
ham,  melaw tr  twoch  ena temelsew         lemeketel ena        
ham,   
